PID 1390020 sees CUDA_VISIBLE_DEVICES = 0
→ torch.device is 0 Tesla V100-SXM2-16GB
[INFO 57:09] Using device: cuda
[INFO 57:09] #### config : {'seed': 0, 'dataset_name': 'assist0910', 'load_params': True, 'save_params': False, 'embs_path': '../embs/', 'params_path': '../ckpt/', 'early_stopping': True, 'esc': 'error', 'verbose_early_stopping': False, 'disable_tqdm': False, 'valid_metric': 'rmse', 'learning_rate': 0.003, 'batch_size': 512, 'valid_batch_size': 10000, 'num_epochs': 100, 'eval_freq': 1, 'patience': 20, 'device': device(type='cuda'), 'lambda': 0, 'tensorboard': False, 'flush_freq': True, 'pred_metrics': ['mi_acc', 'rmse', 'mae', 'mi_prec', 'mi_rec', 'mi_f_b', 'mi_auc', 'ma_prec', 'ma_rec', 'ma_f_b'], 'profile_metrics': ['meta_doa', 'pc-er', 'rm'], 'num_responses': 12, 'low_mem': False, 'n_query': 16, 'CDM': 'impact', 'i_fold': 0, 'num_inner_users_epochs': 3, 'num_inner_epochs': 10, 'inner_lr': 0.0001, 'inner_user_lr': 0.0007838402204978467, 'meta_lr': 2.0, 'meta_trainer': 'GAP', 'num_workers': 0, 'pin_memory': False, 'debug': False, 'learning_users_emb_lr': 0.001} ####
[INFO 57:26] Random_cont_model
[INFO 57:27] compiling CDM model
[INFO 57:34] compiling selection model
[INFO 57:34] ⏳ Training started...
[INFO 57:34] ------- START Training
[INFO 57:34] train on cuda
[INFO 57:54] - meta_params: 2.0
[INFO 57:54] - cross_cond: 2.0
[INFO 57:54] - meta_lambda: 2.0
[INFO 57:54] - learning_users_emb: 0.001
[INFO 58:01] rmse : 0.49947670102119446
[INFO 58:01] valid_rmse : 1.2182358503341675
[INFO 58:01] valid_loss : 0.6095574498176575
[INFO 58:14] - meta_params: 2.0
[INFO 58:14] - cross_cond: 2.0
[INFO 58:14] - meta_lambda: 2.0
[INFO 58:14] - learning_users_emb: 0.001
[INFO 58:20] rmse : 0.4818895757198334
[INFO 58:20] valid_rmse : 1.1753404140472412
[INFO 58:20] valid_loss : 0.7254348993301392
[INFO 58:32] - meta_params: 2.0
[INFO 58:32] - cross_cond: 2.0
[INFO 58:32] - meta_lambda: 2.0
[INFO 58:32] - learning_users_emb: 0.001
[INFO 58:38] rmse : 0.4888933598995209
[INFO 58:38] valid_rmse : 1.192422866821289
[INFO 58:38] valid_loss : 0.67653489112854
[INFO 58:49] - meta_params: 2.0
[INFO 58:49] - cross_cond: 2.0
[INFO 58:49] - meta_lambda: 2.0
[INFO 58:49] - learning_users_emb: 0.001
[INFO 58:54] rmse : 0.47588279843330383
[INFO 58:54] valid_rmse : 1.1606898307800293
[INFO 58:54] valid_loss : 0.7617011666297913
[INFO 59:05] - meta_params: 1.0
[INFO 59:05] - cross_cond: 1.0
[INFO 59:05] - meta_lambda: 1.0
[INFO 59:05] - learning_users_emb: 0.0005
[INFO 59:11] rmse : 0.4653248190879822
[INFO 59:11] valid_rmse : 1.1349385976791382
[INFO 59:11] valid_loss : 0.7146035432815552
[INFO 59:21] - meta_params: 1.0
[INFO 59:21] - cross_cond: 1.0
[INFO 59:21] - meta_lambda: 1.0
[INFO 59:21] - learning_users_emb: 0.0005
[INFO 59:27] rmse : 0.4808030128479004
[INFO 59:27] valid_rmse : 1.1726902723312378
[INFO 59:27] valid_loss : 0.7005469799041748
[INFO 59:36] - meta_params: 1.0
[INFO 59:36] - cross_cond: 1.0
[INFO 59:36] - meta_lambda: 1.0
[INFO 59:36] - learning_users_emb: 0.0005
[INFO 59:42] rmse : 0.46476250886917114
[INFO 59:42] valid_rmse : 1.1335670948028564
[INFO 59:42] valid_loss : 0.7408896088600159
[INFO 59:52] - meta_params: 0.5
[INFO 59:52] - cross_cond: 0.5
[INFO 59:52] - meta_lambda: 0.5
[INFO 59:52] - learning_users_emb: 0.00025
[INFO 59:57] rmse : 0.46924224495887756
[INFO 59:57] valid_rmse : 1.1444933414459229
[INFO 59:57] valid_loss : 0.7824609875679016
[INFO 00:06] - meta_params: 0.5
[INFO 00:06] - cross_cond: 0.5
[INFO 00:06] - meta_lambda: 0.5
[INFO 00:06] - learning_users_emb: 0.00025
[INFO 00:12] rmse : 0.4802588224411011
[INFO 00:12] valid_rmse : 1.1713629961013794
[INFO 00:12] valid_loss : 0.75017911195755
[INFO 00:21] - meta_params: 0.5
[INFO 00:21] - cross_cond: 0.5
[INFO 00:21] - meta_lambda: 0.5
[INFO 00:21] - learning_users_emb: 0.00025
[INFO 00:26] rmse : 0.4653248190879822
[INFO 00:26] valid_rmse : 1.1349385976791382
[INFO 00:26] valid_loss : 0.6880149841308594
[INFO 00:35] - meta_params: 0.25
[INFO 00:35] - cross_cond: 0.25
[INFO 00:35] - meta_lambda: 0.25
[INFO 00:35] - learning_users_emb: 0.000125
[INFO 00:41] rmse : 0.46307143568992615
[INFO 00:41] valid_rmse : 1.129442572593689
[INFO 00:41] valid_loss : 0.745743453502655
[INFO 00:49] - meta_params: 0.25
[INFO 00:49] - cross_cond: 0.25
[INFO 00:49] - meta_lambda: 0.25
[INFO 00:49] - learning_users_emb: 0.000125
[INFO 00:55] rmse : 0.4742313623428345
[INFO 00:55] valid_rmse : 1.156661868095398
[INFO 00:55] valid_loss : 0.7265418767929077
[INFO 01:03] - meta_params: 0.25
[INFO 01:03] - cross_cond: 0.25
[INFO 01:03] - meta_lambda: 0.25
[INFO 01:03] - learning_users_emb: 0.000125
[INFO 01:09] rmse : 0.46700772643089294
[INFO 01:09] valid_rmse : 1.1390432119369507
[INFO 01:09] valid_loss : 0.697641909122467
[INFO 01:17] - meta_params: 0.125
[INFO 01:17] - cross_cond: 0.125
[INFO 01:17] - meta_lambda: 0.125
[INFO 01:17] - learning_users_emb: 6.25e-05
[INFO 01:22] rmse : 0.45853137969970703
[INFO 01:22] valid_rmse : 1.118369221687317
[INFO 01:22] valid_loss : 0.7426828145980835
[INFO 01:30] - meta_params: 0.125
[INFO 01:30] - cross_cond: 0.125
[INFO 01:30] - meta_lambda: 0.125
[INFO 01:30] - learning_users_emb: 6.25e-05
[INFO 01:36] rmse : 0.4681263267993927
[INFO 01:36] valid_rmse : 1.1417715549468994
[INFO 01:36] valid_loss : 0.7780575156211853
[INFO 01:44] - meta_params: 0.125
[INFO 01:44] - cross_cond: 0.125
[INFO 01:44] - meta_lambda: 0.125
[INFO 01:44] - learning_users_emb: 6.25e-05
[INFO 01:49] rmse : 0.47312721610069275
[INFO 01:49] valid_rmse : 1.1539688110351562
[INFO 01:49] valid_loss : 0.7628595232963562
[INFO 01:57] - meta_params: 0.0625
[INFO 01:57] - cross_cond: 0.0625
[INFO 01:57] - meta_lambda: 0.0625
[INFO 01:57] - learning_users_emb: 3.125e-05
[INFO 02:03] rmse : 0.4725741744041443
[INFO 02:03] valid_rmse : 1.1526199579238892
[INFO 02:03] valid_loss : 0.7841950058937073
[INFO 02:10] - meta_params: 0.0625
[INFO 02:10] - cross_cond: 0.0625
[INFO 02:10] - meta_lambda: 0.0625
[INFO 02:10] - learning_users_emb: 3.125e-05
[INFO 02:16] rmse : 0.46476250886917114
